nombreAnime;franquicia;anioLanzamiento;temas;episodios;generos;estudioAnimacion;descripcion
Naruto;Naruto;2002;artes marciales;220;accion, aventura, fantasia;Pierrot;Un joven ninja con sueños grandes y una determinación inquebrantable lucha por ser reconocido como el líder de su aldea y obtener la aceptación de sus compañeros
One piece;One piece;1999;ninguno;1106;accion, aventura, fantasia;Toei Animation;Un intrépido pirata con sombrero de paja, junto a su tripulación variopinta, busca un legendario tesoro en un mundo lleno de aventuras y peligros marinos
Naruto: Shippuden;Naruto;2007;artes marciales;500;accion, aventura, fantasia;Pierrot;El viaje de un ninja adolescente que madura en un mundo de guerras y traiciones, persiguiendo la paz y la redención, enfrentando a amigos y enemigos del pasado.
Code Geass: Lelouch of the Rebellion;Code Geass;2006;mecha, militar, escuela, superpoder;25;accion, drama, sci-fi;Sunrise;Un príncipe exiliado, dotado con un poder misterioso, lidera una rebelión contra un imperio tiránico en un juego de estrategia política y conflictos mecha.
Code Geass: Lelouch of the Rebellion R2;Code Geass;2008;mecha, militar, escuela, superpoder;25;accion, drama, sci-fi;Sunrise;Un líder rebelde renacido, con nuevas alianzas y enemigos, desafía un régimen opresivo mientras lucha por la libertad y la redención personal en un mundo de conspiraciones.
Dragon Ball;Dragon Ball;1986;artes marciales, superpoder;153;accion, aventura, comedia, fantasia;Toei Animation;Un joven artista marcial con un corazón puro se embarca en aventuras épicas, desafíos de poder y amistades duraderas mientras busca unas esferas legendarias.
Dragon Ball Z;Dragon Ball;1989;artes marciales, superpoder;291;accion, aventura, comedia, fantasia;Toei Animation;La continuación de las aventuras del guerrero, ahora enfrentando desafíos cósmicos y enemigos intergalácticos, defendiendo la Tierra con nuevos poderes y aliados.
Dragon Ball Super;Dragon Ball;2015;artes marciales, superpoder;131;accion, aventura, comedia, fantasia;Toei Animation;El épico retorno del guerrero y sus amigos en una saga que explora nuevos universos, poderes divinos y enfrentamientos cósmicos, desafiando límites y amenazas inimaginables.
Dragon Ball GT;Dragon Ball;1996;artes marciales, superpoder;64;accion, aventura, comedia, fantasia;Toei Animation;Una odisea intergaláctica que sigue al guerrero y sus compañeros en la búsqueda de las esferas legendarias dispersas por la galaxia, enfrentando desafíos cósmicos y antiguos enemigos.
Attack on Titan;Attack on Titan;2013;gore, militar, supervivencia;25;accion, drama, suspenso;Wit Studio;En un mundo donde la humanidad lucha por sobrevivir ante titanes devoradores de hombres, un joven busca venganza mientras descubre secretos oscuros sobre su mundo y su propia identidad.
Death Note;Death Note;2006;psicológico;37;sobrenatural, suspenso;Madhouse;Un estudiante brillante descubre un cuaderno mortal que le otorga el poder de matar a cualquiera cuyo nombre escriba en él, desatando un mortal juego de ingenio con un detective.
Fullmetal Alchemist: Brotherhood;Fullmetal Alchemist;2009;militar;64;accion, aventura, drama, fantasia;Bones;Dos hermanos alquimistas, marcados por una tragedia, buscan la Piedra Filosofal para recuperar lo perdido, enfrentando conspiraciones y desafíos morales en un mundo de alquimia y guerra.
One Punch Man;One Punch Man;2015;elenco adulto, parodia, superpoderes;12;accion, comedia;Madhouse;Un héroe abrumadoramente poderoso busca emoción en la batalla mientras lucha contra monstruos y villanos, enfrentando el aburrimiento de su propia invencibilidad.
Sword Art Online;Sword Art Online;2012;polígono amoroso, videojuego;25;accion, aventura, fantasia, romance;A-1 Pictures;Jugadores quedan atrapados en un videojuego de realidad virtual mortal donde deben luchar para sobrevivir y completar niveles, ya que morir en el juego significa morir en la vida real.
The Seven Deadly Sins;The Seven Deadly Sins;2014;ninguno;24;accion, aventura, fantasia;A-1 Pitctures;Un grupo de caballeros legendarios, cada uno representando un pecado capital, se reúne para salvar el reino de fuerzas oscuras y misteriosas conspiraciones.
Darling in the FranXX;Darling in the FranXX;2018;mecha;24;accion, drama, sci-fi, romance;A-1 Pictures, Trigger, CloverWorks;En un futuro distópico, adolescentes pilotan mechas gigantes para defender la humanidad de monstruos, mientras exploran el amor, la identidad y la libertad.
Cowboy Bebop;Cowboy Bebop;1998;elenco adulto, espacio;26;accion, sci-fi;Sunrise;Cazarrecompensas viajan por el espacio en una nave, enfrentando peligros y dilemas personales en un futuro con un estilo de jazz y melancolía.
Hunter x Hunter;Hunter x Hunter;2011;ninguno;148;accion, aventura, fantasia;Madhouse;Un joven se embarca en un viaje para convertirse en cazador y encontrar a su padre, enfrentando desafíos y enemigos en un mundo lleno de habilidades extraordinarias.
Spy x Family;Spy x Family;2022;cuidado infantil;12;accion, comedia;Wit Studio, CloverWorks;Un espía, una asesina y una telépata forman una familia falsa para cumplir una misión secreta, mientras esconden sus verdaderas identidades y desarrollan lazos genuinos.
Spy x Family Parte 2;Spy x Family;2022;cuidado infantil;13;accion, comedia;Wit Studio, CloverWorks;Un espía, una asesina y una telépata forman una familia falsa para cumplir una misión secreta, mientras esconden sus verdaderas identidades y desarrollan lazos genuinos.
Spy x Family Season 2;Spy x Family ;2023;cuidado infantil;12;accion, comedia;Wit Studio, CloverWorks;La familia falsa continúa sus misiones encubiertas, enfrentando nuevos retos y profundizando sus lazos mientras mantienen sus identidades ocultas en un mundo lleno de intrigas y secretos.
Tensei shitara Slime Datta Ken;Tensei shitara Slime Datta Ken;2018;isekai, reencarnación;24;accion, aventura, comedia, fantasia;8bit;Un hombre renace como un slime en un mundo de fantasía, ganando habilidades y aliados mientras construye una nación y enfrenta amenazas poderosas.
Tensei shitara Slime Datta Ken Temporada 2 Parte 1;Tensei shitara Slime Datta Ken;2021;isekai, reencarnación;12;accion, aventura, comedia, fantasia;8bit;El slime y su nación enfrentan nuevos desafíos y enemigos poderosos, mientras alianzas se forjan y secretos se revelan en un mundo de fantasía en expansión.
Tensei shitara Slime Datta Ken Temporada 2 Parte 2;Tensei shitara Slime Datta Ken;2021;isekai, reencarnación;12;accion, aventura, comedia, fantasia;8bit;La continuación de las aventuras del slime y su creciente nación, enfrentando conflictos políticos, guerras y misterios antiguos mientras buscan la paz y la prosperidad en un mundo de fantasía.
Haikyuu!!;Haikyuu!!;2014;escuela, deportes de equipo;25;deportes;Production I.G;Un equipo de voleibol de preparatoria lucha por alcanzar la grandeza, enfrentando desafíos personales y deportivos mientras persiguen sus sueños en la cancha.
Haikyuu!! To the Top;Haikyuu!!;2020;escuela, deportes de equipo;13;deportes;Production I.G;Los jugadores de voleibol del equipo principal enfrentan equipos poderosos y desafíos personales mientras compiten en el torneo nacional, persiguiendo la gloria en la cancha.
Haikyuu!! Temporada 2;Haikyuu!!;2015;escuela, deportes de equipo;25;deportes;Production I.G;El equipo de voleibol principal se enfrenta a desafíos aún mayores en su camino hacia el campeonato nacional, enfrentando rivales formidables y superando obstáculos personales.
Neon Genesis Evangelion;Neon Genesis Evangelion;1995;mecha, psicológico;26;accion, drama, sci-fi, suspenso;Gainax, Tatsunoko Production;En un mundo postapocalíptico, adolescentes pilotan robots gigantes para proteger la humanidad de criaturas misteriosas mientras lidian con traumas personales y secretos oscuros.
My Hero Academia;My Hero Academia;2016;escuela, superpoder;13;accion;Bones;En un mundo donde la mayoría tiene superpoderes, un joven sin poderes busca convertirse en un héroe, enfrentando desafíos y descubriendo la verdadera naturaleza del heroísmo.
JoJo's Bizarre Adventure. Phantom Blood;JoJo's Bizarre Adventure;2012;histórico, vampiro;26;accion, aventura, sobrenatural;David Production;Un joven noble se enfrenta a su hermanastro adoptivo y su legado maligno, desatando un viaje de venganza y poderes sobrenaturales en la Inglaterra del siglo XIX.
Bocchi the Rock!;Bocchi the Rock!;2022;CGDCT, música;12;comedia;CloverWorks;Un joven músico en busca de su identidad, desafiando límites personales y sociales en un mundo donde la música es clave.
Death Parade;Death Parade;2015;elenco adulto, juego de alto riesgo, psicológico;12;drama, sobrenatural, suspenso;Madhouse;En una bar misterioso, los recién fallecidos participan en juegos mortales para ser juzgados, determinando así su destino en el mas allá.
Akame ga Kill!;Akame ga Kill!;2014;gore, superpoder;24;accion, fantasia;White Fox;Un grupo de asesinos lucha contra la corrupción en un mundo oscuro y violento, donde la moralidad se desdibuja en la búsqueda de justicia.
Charlotte;Charlotte;2015;escuela, superpoder;13;drama;P.A. Works;Un grupo de estudiantes con habilidades especiales lidian con los desafíos de la adolescencia mientras intentan salvar a otros con poderes similares.
Angel Beats!;Angel Beats!;2010;escuela;13;drama, sobrenatural;P.A. Works;En un limbo escolar, un grupo de estudiantes rebeldes desafía a un ángel mientras buscan resolver sus conflictos emocionales antes de partir.
Another;Another;2012;gore, escuela;12;horror, sobrenatural, misterio;P.A. Works;En una escuela maldita, un oscuro secreto del pasado se desencadena, desatando una serie de eventos mortales para los estudiantes desprevenidos.
Toradora!;Toradora!;2008;polígono amoroso, escuela;25;drama, romance;J.C.Staff;Una comedia romántica donde dos estudiantes, con personalidades opuestas, forman una inesperada alianza para ayudarse mutuamente en asuntos amorosos.
Kill la Kill;Kill la Kill;2013;escuela, superpoder;24;accion, comedia, fantasia;Trigger;Una joven busca venganza en un mundo donde la moda y el poder se entrelazan, desafiando un sistema autoritario con determinación y estilo.
Jujutsu Kaisen;Jujutsu Kaisen ;2020;escuela;24;accion, fantasia;MAPPA;En un mundo donde los humanos enfrentan maldiciones peligrosas, un joven obtiene poderes al consumir un objeto maldito. Ahora, debe luchar contra estas entidades mientras entrena en una escuela especial de hechicería.
Tokyo Ghoul;Tokyo Ghoul;2014;gore, psicológico;12;accion, fantasia, horror, suspenso;Pierrot;En Tokyo, un universitario convertido en ghoul lucha por sobrevivir en un mundo donde humanos y criaturas sobrenaturales se enfrentan en una batalla oscura y sangrienta.
Tokyo Ghoul: Root A;Tokyo Ghoul;2015;gore, psicológico;12;accion, fantasia, horror, suspenso;Pierrot;En la segunda temporada de un anime, el protagonista se encuentra en medio de un conflicto entre humanos y criaturas sobrenaturales, enfrentando dilemas morales y desafíos personales.
Tokyo Ghoul: re;Tokyo Ghoul;2018;gore, psicológico;12;accion, fantasia, horror, suspenso;Pierrot;Una nueva generación de investigadores se enfrenta a ghouls más poderosos, mientras uno de ellos lucha con su identidad en medio del conflicto.
Tokyo Ghoul: re Temporada 2;Tokyo Ghoul;2018;gore, psicológico;12;accion, fantasia, horror, suspenso;Pierrot;Los conflictos entre humanos y ghouls alcanzan un punto crítico, mientras los personajes luchan por sobrevivir y encontrar su lugar en el mundo.
Tokyo Revenger;Tokyo Revenger;2021;delincuentes, viaje en el tiempo;24;accion, drama, sobrenatural;LIDENFILMS;Un joven descubre que puede viajar en el tiempo y se propone cambiar el curso de su vida al enfrentar a peligrosas pandillas callejeras.
Kimetsu no Yaiba;Kimetsu no Yaiba;2019;histórico;26;accion, fantasia;Ufotable;En un Japón feudal, un joven se convierte en cazador de demonios tras la masacre de su familia y la transformación de su hermana en demonio. Su misión es encontrar una cura y vengar a sus queridos.
Chainsaw Man;Chainsaw Man;2022;gore;12;accion, fantasia;MAPPA;Un estudiante se convierte en una mezcla de humano y demonio, enfrentando horrores sobrenaturales para ganarse la vida.
Classroom of the Elite;Classroom of the Elite;2017;psicológico, escuela;12;drama, suspenso;Lerche;En una prestigiosa escuela, los estudiantes compiten en desafíos intelectuales y sociales mientras luchan por sobresalir en un entorno competitivo y misterioso.
Mob Psycho 100;Mob Psycho 100;2016;superpoder;12;accion, comedia, sobrenatural;Bones;Un joven con poderes psíquicos intenta llevar una vida normal mientras enfrenta amenazas sobrenaturales, aprendiendo a controlar sus habilidades con la ayuda de un mentor fraudulento.
Classroom of the Elite Temporada 2;Classroom of the Elite;2022;psicológico, escuela;13;drama, suspenso;Lerche;La élite se enfrenta a nuevos desafíos y enemigos en la lucha por el poder escolar. Secretos impactantes y estrategias elaboradas ponen a prueba las alianzas mientras buscan ascender de clase.
Classroom of the Elite Temporada 3;Classroom of the Elite;2024;psicológico, escuela;13;drama, suspenso;Lerche;Tras ascender, la clase lucha por mantener su estatus en nuevas pruebas que exigen colaboración y astucia. Rivalidades se intensifican y secretos salen a la luz, mientras se busca la victoria final.
InuYasha;InuYasha;2000;histórico, polígono amoroso, mitología, viaje en el tiempo;167;accion, aventura, fantasia, romance;Sunrise;Una joven es transportada al Japón feudal, donde se une a un medio demonio para recuperar fragmentos de una poderosa joya y enfrentarse a numerosos enemigos sobrenaturales.
Kakegurui;Kakegurui;2017;juego de alto riesgo, psicológico, escuela, juego de estrategia;12;drama, misterio, suspenso;MAPPA;En una academia de élite, juegos de apuestas determinan la jerarquía. Una nueva estudiante desafía el sistema con su astucia y pasión por el juego, poniendo en jaque a la élite y sus artimañas.
No Game No Life;No Game No Life;2014;isekai, juego de estrategia;12;comedia, fantasia;Madhouse;En un mundo de juegos, dos hermanos buscan la supremacía con ingenio y astucia. Enfrentan rivales en partidas de ingenio, desafiando las reglas y buscando la victoria final.
Vinland Saga;Vinland Saga;2019;gore, histórico;24;accion, aventura, drama;Wit Studio;Un joven vikingo en busca de venganza por la muerte de su padre, explorando temas de honor, lealtad y el deseo de encontrar paz.
Rurouni Kenshin;Rurouni Kenshin;1996;histórico, samurái;94;accion, comedia, romance;Gallop, Studio Deen;Un ex asesino busca redención vagando por Japón, ofreciendo protección a los necesitados y luchando por la paz con su espada, jurando nunca más matar.
Assassination Classroom;Assassination Classroom;2015;escuela;22;accion, comedia;Lerche;Estudiantes de una clase especial deben asesinar a su profesor, un alienígena amarillo que promete destruir la Tierra, mientras aprenden valiosas lecciones de vida y crecimiento personal.
Bleach;Bleach;2004;ninguno;366;accion, aventura, fantasia;Pierrot;Un adolescente obtiene poderes de segador de almas y debe proteger a los vivos de espíritus malignos mientras guía a las almas perdidas al más allá.
Solo Leveling;Solo Leveling;2024;elenco adulto;12;accion, aventura, fantasia;A-1 Pitctures;Un cazador de nivel bajo descubre un poder único que le permite aumentar sus habilidades sin límite, aumentando así su nivel mientras enfrenta peligrosas mazmorras y criaturas sobrenaturales.
Kaiju No. 8;Kaiju No. 8;2024;elenco adulto, militar;12;accion, sci-fi;Production I.G;Un hombre en un mundo invadido por monstruos, obtiene la capacidad de transformarse en uno de estos monstruos, usando su nuevo poder para luchar contra ellos y proteger a la humanidad.
DANMACHI;DANMACHI;2015;ninguno;13;accion, aventura, fantasia;J.C.Staff;Un joven aventurero busca hacerse más fuerte en una ciudad llena de dioses y mazmorras, mientras forma vínculos y enfrenta peligros en su camino hacia la grandeza.
High School DxD;High School DxD;2012;harem, mitología, escuela;12;accion, comedia, fantasia, romance;TNK;Un estudiante de secundaria es revivido por una demonio tras ser asesinado en su primera cita. Ahora, debe servirla y enfrentarse a ángeles, demonios y otros seres sobrenaturales.
Hanako-Kun;Hanako-Kun;2020;escuela;12;sobrenatural;Lerche;En una escuela, una chica invoca a un espíritu que habita en el baño de las chicas para pedir un deseo. Juntos, resuelven misterios sobrenaturales y enfrentan peligros del más allá.
Kabaneri of the Iron Fortress;Kabaneri of the Iron Fortress;2016;gore, histórico, supervivencia;12;accion, fantasia, horror, suspenso;Wit Studio;La historia se desarrolla en un mundo steampunk durante la Revolución Industrial, donde una misteriosa enfermedad está convirtiendo a las personas en monstruos los cuales son seres feroces con corazones recubiertos de hierro.
Bunny Girl Senpai;Bunny Girl Senpai;2018;escuela;13;drama, romance, sobrenatural;CloverWorks;Un estudiante de secundaria ayuda a una actriz, que sufre de un fenómeno sobrenatural que la hace invisible a los demás, mientras se enfrenta a problemas similares en otros compañeros.
Inazuma Eleven;Inazuma Eleven;2008;superpoder, deportes de equipo;127;deportes;TV Tokyo, Dentsu, Half H.P Studio;Anime de futbol el cual cuenta con poderes sobrenaturales.
Dr. Stone;Dr. Stone;2019;supervivencia;24;aventura, comedia, sci-fi;TMS Entertainment;Un estudiante y su amigo despiertan miles de años en el futuro, donde la humanidad ha sido petrificada. Con la ciencia como su arma, intentan revivir la civilización desde cero.
Oshi no Ko;Oshi no Ko;2023;reencarnación, showbiz;11;drama, sobrenatural;Doga Kobo;La trama sigue la vida de una joven actriz y su madre, una antigua estrella, explorando el mundo del entretenimiento japonés a través de intrigas, rivalidades y secretos.
NieR: Automata Ver1.1a;NieR: Automata;2023;ninguno;12;accion, fantasia, sci-fi;rs: Aniplex of America Studios: A-1 Pictures;Es un thriller de ciencia ficción que sigue a dos androides de combaten y luchan por la supervivencia de la humanidad en un mundo postapocalíptico dominado por máquinas.
Hellsing;Hellsing;2001;elenco adulto, gore, vampiro;13;accion, horror, sobrenatural;Gonzo;Un cazador de vampiros inmortal lucha contra criaturas sobrenaturales y una organización nazi resurgente, protegiendo a la humanidad con brutal eficacia.
Frieren: Beyond Journey's End;Frieren;2023;ninguno;28;aventura, drama, fantasia;Madhouse;Una poderosa hechicera elfa, en su viaje para reunirse con sus amigos de la infancia, explorando temas de amistad, pérdida y la naturaleza efímera de la vida.
Hell's Paradise;Hell's Paradise;2023;gore, militar, supervivencia;13;accion, aventura, fantasia;MAPPA;Condenados a muerte viajan a una isla mística en busca de un elixir de inmortalidad, enfrentando criaturas letales y desafíos sobrenaturales.
Attack on Titan Temporada 2;Attack on Titan;2017;gore, militar, supervivencia;12;accion, drama, suspenso;Wit Studio;Los protagonistas descubren secretos sobre los titanes y sus propias identidades mientras enfrentan nuevas amenazas, traiciones y revelaciones impactantes que cambian el curso de la guerra.
Attack on Titan Temporada 3;Attack on Titan;2018;gore, militar, supervivencia;12;accion, drama, suspenso;Wit Studio;El protagonista y sus amigos luchan contra el gobierno corrupto, descubren la verdad sobre los titanes y exploran los secretos del mundo exterior, preparando el camino para la batalla final.
Attack on Titan: Temporada Final;Attack on Titan;2020;gore, militar, supervivencia;16;accion, drama, suspenso;MAPPA; La guerra se traslada a la zona rival mientras los protagonistas revelan oscuros secretos sobre el origen de los titanes y la historia de su mundo, enfrentando nuevos y poderosos enemigos.
Attack on Titan: Temporada 3 Parte 2;Attack on Titan;2019;gore, militar, supervivencia;10;accion, drama, suspenso;Wit Studio;El grupo de protagonistas enfrenta a los titanes en una batalla decisiva por el muro principal. Revelan verdades impactantes sobre el origen de los titanes y el mundo exterior, cambiando el destino de la humanidad.
Yu☆Gi☆Oh! Duel Monsters;Yu☆Gi☆Oh! ;2000;gore, histórico, samurái;224;accion, aventura, fantasia;Gallop;Un adolescente resuelve el enigmático Rompecabezas del Milenio, despertando un espíritu antiguo. Juntos, luchan en intensos duelos de cartas, enfrentando diversos adversarios y desentrañando misterios mientras buscan proteger el equilibrio del mundo.
5-toubun no Hanayome;5-toubun no Hanayome;2019;harem, escuela;12;comedia, romance;Tezuka Productions;Un estudiante con dificultades económicas se convierte en tutor de cinco hermanas. A pesar de sus personalidades diversas y su resistencia al estudio, él trabaja para ayudarlas a aprobar mientras se desarrolla una conexión especial entre ellos.
Date A Live;Date A Live;2013;harem, escuela;12;accion, aventura, sci-fi, romance;AIC PLUS+;Un estudiante descubre que las misteriosas entidades conocidas como Espíritus son la causa de devastadores terremotos. Para detenerlas, debe hacer que se enamoren de él, navegando complicadas relaciones y peligros sobrenaturales en el proceso.
Grandpa and Grandma Turn Young Again;Grandpa and Grandma Turn Young Again;2024;ninguno;11;comedia, romance, sobrenatural;Gekkou;Un matrimonio rejuvenece misteriosamente. Su familia debe mantener el secreto mientras enfrentan divertidas situaciones y aprenden valiosas lecciones sobre la vida y el amor.
Wind Breaker;Wind Breaker;2024;delincuentes, escuela;13;accion;CloverWorks;Un estudiante se une a una escuela secundaria conocida por sus peleas y su baja reputación académica con el objetivo de convertirse en el más fuerte, pero pronto descubre que algunos estudiantes utilizan su fuerza para proteger la ciudad.
Sword Art Online Alicization;Sword Art Online ;218;polígono amoroso, videojuego;24;accion, aventura, fantasia, romance, gastronomo;A-1 Pictures;En un vasto mundo virtual, un joven despierta sin recuerdos. Se une a un guerrero para desafiar un imperio opresivo, descubriendo secretos profundos y luchando por la libertad.
Sword Art Online Alicization War of Underworld;Sword Art Online;2019;polígono amoroso, videojuego;12;accion, aventura, fantasia;A-1 Pictures;En un mundo virtual en guerra, héroes luchan contra un imperio oscuro. La batalla por la libertad se intensifica, revelando sacrificios, alianzas y el verdadero poder de la amistad.
Slam Dunk;Slam Dunk;1993;escuela, deportes de equipo;101;deportes;Toei Animation;Un joven rebelde se une al equipo de baloncesto de su escuela. Descubre su pasión por el deporte, enfrentando desafíos y creciendo junto a sus compañeros hacia el campeonato.
Black Lagoon;Black Lagoon;2006;elenco adulto, crimen organizado;12;accion;Madhouse;Un grupo de mercenarios en el sudeste asiático se enfrenta a peligrosos criminales y mafias. Un hombre de negocios atrapado en su mundo se convierte en uno de ellos, navegando violencia y moralidad.
Black Lagoon: Roberta´s Blood Trail;Black Lagoon;2010;elenco adulto, crimen organizado;5;accion;Madhouse;Una exguerrillera convertida en sirvienta busca venganza por la muerte de su amo. Su sangrienta búsqueda enfrenta a mercenarios y mafias en un choque brutal de justicia y violencia.
Black Lagoon: The Second Barrage;Black Lagoon;2006;elenco adulto, crimen organizado;12;accion;Madhouse;Los mercenarios enfrentan nuevos y peligrosos enemigos, incluyendo una letal pareja de asesinos y una banda de secuestradores. La lucha por sobrevivir en el submundo criminal se vuelve aún más intensa y despiadada.
